Torino,Milano,140
Torino,Aosta,105
Torino,Cuneo,96
Torino,Novara,90
Milano,Bergamo,50
Milano,Varese,55
Bergamo,Brescia,45
Brescia,Verona,70
Verona,Vicenza,50
Vicenza,Padova,35
Padova,Venezia,40
Genova,Savona,45
Savona,Imperia,65
Imperia,Sanremo,25
Cuneo,Fossano,25
Fossano,Savigliano,7
Cuneo,Saluzzo,20
Saluzzo,Verzuolo,6
Aosta,Courmayeur,30
Aosta,Chatillon,20
Chatillon,Ivrea,50
Ivrea,Biella,45
Novara,Vercelli,25
Vercelli,Biella,30
Biella,Vercelli,30
Pavia,Lodi,35
Lodi,Milano,40
Piacenza,Cremona,45
Cremona,Brescia,55
Novara,Arona,20
Arona,Stresa,15
Stresa,Verbania,12
Verbania,Cannobio,20
Cannobio,Locarno,10
